phv_id	PhenX_id	CDE_primary_name
phv00101483.v1.p1	PX111201010000	In general, would you say your overall health is
phv00056870.v2.p9	PX111201010000	In general, would you say your overall health is
phv00103524.v1.p1	PX111201010000	In general, would you say your overall health is
phv00006701.v1.p9	PX111201010000	In general, would you say your overall health is
phv00072544.v4.p9	PX111201010000	In general, would you say your overall health is
phv00007153.v1.p9	PX111201010000	In general, would you say your overall health is
phv00050271.v1.p1	PX111201010000	In general, would you say your overall health is
phv00192308.v1.p3	PX111201010000	In general, would you say your overall health is
phv00109343.v1.p1	PX111201010000	In general, would you say your overall health is
phv00105125.v1.p1	PX111201010000	In general, would you say your overall health is
phv00103471.v1.p1	PX111201010000	In general, would you say your overall health is
phv00070599.v1.p9	PX111201010000	In general, would you say your overall health is
phv00079091.v4.p3	PX111201010000	In general, would you say your overall health is
phv00004571.v1.p9	PX111201010000	In general, would you say your overall health is
phv00108575.v1.p1	PX111201010000	In general, would you say your overall health is
phv00022731.v5.p9	PX111201010000	In general, would you say your overall health is
phv00085869.v2.p3	PX111201010000	In general, would you say your overall health is
phv00098808.v1.p1	PX111201010000	In general, would you say your overall health is
phv00214220.v1.p1	PX111201010000	In general, would you say your overall health is
phv00103629.v1.p1	PX111201010000	In general, would you say your overall health is
phv00111629.v3.p3	PX111201010000	In general, would you say your overall health is
phv00128086.v1.p1	PX111201010000	In general, would you say your overall health is
phv00010537.v5.p9	PX111201010000	In general, would you say your overall health is
phv00103261.v1.p1	PX111201010000	In general, would you say your overall health is
phv00197596.v1.p1	PX111201010000	In general, would you say your overall health is
phv00028435.v1.p1	PX111201010000	In general, would you say your overall health is
phv00004134.v1.p9	PX111201010000	In general, would you say your overall health is
phv00202876.v1.p1	PX111201010000	In general, would you say your overall health is
phv00009594.v5.p9	PX111201010000	In general, would you say your overall health is
phv00159602.v3.p2	PX111201010000	In general, would you say your overall health is
phv00009136.v5.p9	PX111201010000	In general, would you say your overall health is
phv00103576.v1.p1	PX111201010000	In general, would you say your overall health is
phv00169481.v1.p3	PX111201010000	In general, would you say your overall health is
phv00107886.v1.p1	PX111201010000	In general, would you say your overall health is
phv00102631.v1.p1	PX111201010000	In general, would you say your overall health is
phv00006097.v1.p9	PX111201010000	In general, would you say your overall health is
phv00103732.v1.p1	PX111201010000	In general, would you say your overall health is
phv00103419.v1.p1	PX111201010000	In general, would you say your overall health is
phv00223752.v1.p1	PX111201010000	In general, would you say your overall health is
phv00103314.v1.p1	PX111201010000	In general, would you say your overall health is
phv00103209.v1.p1	PX111201010000	In general, would you say your overall health is
phv00109990.v1.p1	PX111201010000	In general, would you say your overall health is
phv00005334.v1.p9	PX111201010000	In general, would you say your overall health is
phv00177635.v1.p9	PX111201010000	In general, would you say your overall health is
phv00003716.v1.p9	PX111201010000	In general, would you say your overall health is
phv00021260.v4.p9	PX111201010000	In general, would you say your overall health is
phv00103681.v1.p1	PX111201010000	In general, would you say your overall health is
phv00103366.v1.p1	PX111201010000	In general, would you say your overall health is
phv00224813.v1.p1	PX111201010000	In general, would you say your overall health is
phv00106999.v1.p1	PX111201010000	In general, would you say your overall health is
phv00078931.v4.p3	PX111201010000	In general, would you say your overall health is
phv00103156.v1.p1	PX111201010000	In general, would you say your overall health is
phv00104034.v1.p1	PX111201010000	In general, would you say your overall health is
phv00198975.v1.p1	PX111201010000	In general, would you say your overall health is
phv00055417.v5.p9	PX111201010000	In general, would you say your overall health is
phv00100305.v1.p1	PX111201010000	In general, would you say your overall health is
phv00006356.v1.p9	PX111201010000	In general, would you say your overall health is
phv00174466.v1.p1	PX111201010000	In general, would you say your overall health is
phv00193793.v1.p3	PX110901100000	Has a doctor ever told you that you had this eye problem
phv00209130.v1.p1	PX110901050000	Has a doctor ever told you that you had this eye problem
phv00104162.v1.p1	PX110901020000	Has a doctor ever told you that you had this eye problem
phv00193681.v1.p3	PX110901100000	Has a doctor ever told you that you had this eye problem
phv00170623.v2.p3	PX110901050000	Has a doctor ever told you that you had this eye problem
phv00156354.v1.p3	PX110901050000	Has a doctor ever told you that you had this eye problem
phv00156374.v1.p3	PX110901100000	Has a doctor ever told you that you had this eye problem
phv00182457.v1.p1	PX110901020000	Has a doctor ever told you that you had this eye problem
phv00159083.v1.p3	PX110901020000	Has a doctor ever told you that you had this eye problem
phv00156286.v1.p3	PX110901100000	Has a doctor ever told you that you had this eye problem
phv00077632.v4.p3	PX110901020000	Has a doctor ever told you that you had this eye problem
phv00030892.v1.p1	PX110901050000	Has a doctor ever told you that you had this eye problem
phv00078313.v4.p3	PX110901100000	Has a doctor ever told you that you had this eye problem
phv00054809.v1.p9	PX110901050000	Has a doctor ever told you that you had this eye problem
phv00080342.v2.p3	PX110901050000	Has a doctor ever told you that you had this eye problem
phv00066485.v1.p1	PX110901020000	Has a doctor ever told you that you had this eye problem
phv00170637.v2.p3	PX110901020000	Has a doctor ever told you that you had this eye problem
phv00106082.v1.p1	PX110901020000	Has a doctor ever told you that you had this eye problem
phv00156266.v1.p3	PX110901050000	Has a doctor ever told you that you had this eye problem
phv00106083.v1.p1	PX110901050000	Has a doctor ever told you that you had this eye problem
phv00085844.v2.p3	PX110901100000	Has a doctor ever told you that you had this eye problem
phv00170643.v2.p3	PX110901100000	Has a doctor ever told you that you had this eye problem
phv00101799.v1.p1	PX110901050000	Has a doctor ever told you that you had this eye problem
phv00209166.v1.p1	PX110901050000	Has a doctor ever told you that you had this eye problem
phv00078509.v4.p3	PX110901050000	Has a doctor ever told you that you had this eye problem
phv00156280.v1.p3	PX110901020000	Has a doctor ever told you that you had this eye problem
phv00078171.v4.p3	PX110901020000	Has a doctor ever told you that you had this eye problem
phv00080356.v3.p3	PX110901020000	Has a doctor ever told you that you had this eye problem
phv00196856.v1.p1	PX110901100000	Has a doctor ever told you that you had this eye problem
phv00196781.v1.p1	PX110901100000	Has a doctor ever told you that you had this eye problem
phv00163290.v1.p1	PX110901050000	Has a doctor ever told you that you had this eye problem
phv00078312.v4.p3	PX110901020000	Has a doctor ever told you that you had this eye problem
phv00170725.v2.p3	PX110901100000	Has a doctor ever told you that you had this eye problem
phv00209168.v1.p1	PX110901100000	Has a doctor ever told you that you had this eye problem
phv00077758.v4.p3	PX110901100000	Has a doctor ever told you that you had this eye problem
phv00078031.v4.p3	PX110901020000	Has a doctor ever told you that you had this eye problem
phv00077868.v4.p3	PX110901100000	Has a doctor ever told you that you had this eye problem
phv00000015.v2.p1	PX110901020000	Has a doctor ever told you that you had this eye problem
phv00080400.v2.p3	PX110901050000	Has a doctor ever told you that you had this eye problem
phv00159617.v3.p2	PX110901100000	Has a doctor ever told you that you had this eye problem
phv00080414.v2.p3	PX110901020000	Has a doctor ever told you that you had this eye problem
phv00085833.v2.p3	PX110901020000	Has a doctor ever told you that you had this eye problem
phv00051671.v1.p1	PX110901020000	Has a doctor ever told you that you had this eye problem
phv00104163.v1.p1	PX110901050000	Has a doctor ever told you that you had this eye problem
phv00207690.v1.p1	PX110901020000	Has a doctor ever told you that you had this eye problem
phv00053947.v2.p1	PX110901050000	Has a doctor ever told you that you had this eye problem
phv00077867.v4.p3	PX110901020000	Has a doctor ever told you that you had this eye problem
phv00180778.v2.p1	PX110901020000	Has a doctor ever told you that you had this eye problem
phv00054810.v1.p9	PX110901020000	Has a doctor ever told you that you had this eye problem
phv00159186.v1.p3	PX110901020000	Has a doctor ever told you that you had this eye problem
phv00077633.v4.p3	PX110901100000	Has a doctor ever told you that you had this eye problem
phv00209132.v1.p1	PX110901100000	Has a doctor ever told you that you had this eye problem
phv00078032.v4.p3	PX110901100000	Has a doctor ever told you that you had this eye problem
phv00078510.v4.p3	PX110901020000	Has a doctor ever told you that you had this eye problem
phv00170705.v2.p3	PX110901050000	Has a doctor ever told you that you had this eye problem
phv00077757.v4.p3	PX110901020000	Has a doctor ever told you that you had this eye problem
phv00101805.v1.p1	PX110901020000	Has a doctor ever told you that you had this eye problem
phv00054702.v1.p9	PX110901100000	Has a doctor ever told you that you had this eye problem
phv00053756.v2.p1	PX110901020000	Has a doctor ever told you that you had this eye problem
phv00170719.v2.p3	PX110901020000	Has a doctor ever told you that you had this eye problem
phv00078172.v4.p3	PX110901100000	Has a doctor ever told you that you had this eye problem
phv00156368.v1.p3	PX110901020000	Has a doctor ever told you that you had this eye problem
phv00003722.v1.p9	PX111201150100	Are you currently driving, at least once in a while
phv00010570.v5.p9	PX111201150100	Are you currently driving, at least once in a while
phv00006398.v1.p9	PX111201150100	Are you currently driving, at least once in a while
phv00006754.v1.p9	PX111201150100	Are you currently driving, at least once in a while
phv00004577.v1.p9	PX111201150100	Are you currently driving, at least once in a while
phv00005352.v1.p9	PX111201150100	Are you currently driving, at least once in a while
phv00005990.v1.p9	PX111201150100	Are you currently driving, at least once in a while
phv00101837.v1.p1	PX111201150100	Are you currently driving, at least once in a while
phv00009153.v5.p9	PX111201150100	Are you currently driving, at least once in a while
phv00004140.v1.p9	PX111201150100	Are you currently driving, at least once in a while
phv00006080.v1.p9	PX111201150100	Are you currently driving, at least once in a while
phv00007206.v1.p9	PX111201150100	Are you currently driving, at least once in a while
phv00009629.v5.p9	PX111201150100	Are you currently driving, at least once in a while
phv00056703.v2.p9	PX111201150100	Are you currently driving, at least once in a while
phv00070652.v1.p9	PX111201150100	Are you currently driving, at least once in a while
phv00209138.v1.p1	PX110901030000	Did you ever have cataract surgery
phv00053932.v2.p1	PX110901030000	Did you ever have cataract surgery
phv00085834.v2.p3	PX110901030000	Did you ever have cataract surgery
phv00181951.v1.p1	PX110901030000	Did you ever have cataract surgery
phv00034340.v1.p1	PX110901030000	Did you ever have cataract surgery
phv00159084.v1.p3	PX110901030000	Did you ever have cataract surgery
phv00209174.v1.p1	PX110901030000	Did you ever have cataract surgery
phv00101807.v1.p1	PX110901030000	Did you ever have cataract surgery
phv00003501.v1.p9	PX110901030000	Did you ever have cataract surgery
phv00053848.v2.p1	PX110901030000	Did you ever have cataract surgery
phv00053847.v2.p1	PX110901030000	Did you ever have cataract surgery
phv00159187.v1.p3	PX110901030000	Did you ever have cataract surgery
phv00053931.v2.p1	PX110901030000	Did you ever have cataract surgery
phv00210395.v1.p1	PX111001020000	Have you ever had double vision
phv00004325.v1.p9	PX111001020000	Have you ever had double vision
phv00210412.v1.p1	PX111001020000	Have you ever had double vision
phv00168938.v1.p1	PX111001020000	Have you ever had double vision
phv00070458.v1.p9	PX111001020000	Have you ever had double vision
phv00007791.v5.p9	PX111001020000	Have you ever had double vision
phv00210450.v1.p1	PX111001020000	Have you ever had double vision
phv00052083.v1.p1	PX111001020000	Have you ever had double vision
phv00210431.v1.p1	PX111001020000	Have you ever had double vision
phv00017281.v1.p1	PX111001020000	Have you ever had double vision
phv00008495.v5.p9	PX111001020000	Have you ever had double vision
phv00005107.v1.p9	PX111001020000	Have you ever had double vision
phv00009342.v5.p9	PX111001020000	Have you ever had double vision
phv00004740.v1.p9	PX111001020000	Have you ever had double vision
phv00006567.v1.p9	PX111001020000	Have you ever had double vision
phv00005731.v1.p9	PX111001020000	Have you ever had double vision
phv00008914.v5.p9	PX111001020000	Have you ever had double vision
phv00104293.v1.p1	PX111201150300	Was that mainly because of your eyesight, mainly for some other reason, or because of both your eyesight and other reasons
phv00100357.v1.p1	PX111201150300	Was that mainly because of your eyesight, mainly for some other reason, or because of both your eyesight and other reasons
phv00102793.v1.p1	PX111201150300	Was that mainly because of your eyesight, mainly for some other reason, or because of both your eyesight and other reasons
phv00107220.v1.p1	PX111201150300	Was that mainly because of your eyesight, mainly for some other reason, or because of both your eyesight and other reasons
phv00108726.v1.p1	PX111201150300	Was that mainly because of your eyesight, mainly for some other reason, or because of both your eyesight and other reasons
phv00108084.v1.p1	PX111201150300	Was that mainly because of your eyesight, mainly for some other reason, or because of both your eyesight and other reasons
phv00110122.v1.p1	PX111201150300	Was that mainly because of your eyesight, mainly for some other reason, or because of both your eyesight and other reasons
phv00101613.v1.p1	PX111201150300	Was that mainly because of your eyesight, mainly for some other reason, or because of both your eyesight and other reasons
phv00104910.v1.p1	PX111201150300	Was that mainly because of your eyesight, mainly for some other reason, or because of both your eyesight and other reasons
phv00121997.v1.p1	PX111401080000	Cylinder axis
phv00030904.v1.p1	PX111401080000	Cylinder axis
phv00049766.v1.p1	PX111401080000	Cylinder axis
phv00164701.v1.p1	PX111401080000	Cylinder axis
phv00055039.v1.p9	PX111401080000	Cylinder axis
phv00066475.v1.p1	PX111401080000	Cylinder axis
phv00159093.v1.p3	PX111401080000	Cylinder axis
phv00159196.v1.p3	PX111401080000	Cylinder axis
phv00028725.v1.p1	PX111401080000	Cylinder axis
phv00049622.v1.p1	PX111401080000	Cylinder axis
phv00055108.v4.p9	PX111401080000	Cylinder axis
phv00121996.v1.p1	PX111401040000	Cylinder axis
phv00159094.v1.p3	PX111401040000	Cylinder axis
phv00049765.v1.p1	PX111401040000	Cylinder axis
phv00055105.v4.p9	PX111401040000	Cylinder axis
phv00049621.v1.p1	PX111401040000	Cylinder axis
phv00030903.v1.p1	PX111401040000	Cylinder axis
phv00055036.v1.p9	PX111401040000	Cylinder axis
phv00066472.v1.p1	PX111401040000	Cylinder axis
phv00164700.v1.p1	PX111401040000	Cylinder axis
phv00159197.v1.p3	PX111401040000	Cylinder axis
phv00028724.v1.p1	PX111401040000	Cylinder axis
phv00102796.v1.p1	PX111303070000	Can you read the ordinary print in the newspaper reasonably well, with or without glasses
phv00110125.v1.p1	PX111303070000	Can you read the ordinary print in the newspaper reasonably well, with or without glasses
phv00104296.v1.p1	PX111303070000	Can you read the ordinary print in the newspaper reasonably well, with or without glasses
phv00099171.v1.p1	PX111303070000	Can you read the ordinary print in the newspaper reasonably well, with or without glasses
phv00108087.v1.p1	PX111303070000	Can you read the ordinary print in the newspaper reasonably well, with or without glasses
phv00101616.v1.p1	PX111303070000	Can you read the ordinary print in the newspaper reasonably well, with or without glasses
phv00104913.v1.p1	PX111303070000	Can you read the ordinary print in the newspaper reasonably well, with or without glasses
phv00107223.v1.p1	PX111303070000	Can you read the ordinary print in the newspaper reasonably well, with or without glasses
phv00055109.v4.p9	PX111401070000	Cylindrical power
phv00028727.v1.p1	PX111401070000	Cylindrical power
phv00049624.v1.p1	PX111401070000	Cylindrical power
phv00030906.v1.p1	PX111401070000	Cylindrical power
phv00049768.v1.p1	PX111401070000	Cylindrical power
phv00066476.v1.p1	PX111401070000	Cylindrical power
phv00030905.v1.p1	PX111401030000	Cylindrical power
phv00066473.v1.p1	PX111401030000	Cylindrical power
phv00049767.v1.p1	PX111401030000	Cylindrical power
phv00028726.v1.p1	PX111401030000	Cylindrical power
phv00049623.v1.p1	PX111401030000	Cylindrical power
phv00055106.v4.p9	PX111401030000	Cylindrical power
phv00101934.v1.p1	PX111001120000	Do you have any retinal defects, retinal tears, detachments, etc
phv00085843.v2.p3	PX111001120000	Do you have any retinal defects, retinal tears, detachments, etc
phv00209667.v1.p1	PX111001120000	Do you have any retinal defects, retinal tears, detachments, etc
phv00209673.v1.p1	PX111001120000	Do you have any retinal defects, retinal tears, detachments, etc
phv00209195.v1.p1	PX111501010000	Patient number
phv00209494.v1.p1	PX111501010000	Patient number
phv00209596.v1.p1	PX111501010000	Patient number
phv00121981.v1.p1	PX111402010000	Patient number
phv00209159.v1.p1	PX111501010000	Patient number
phv00209677.v1.p1	PX111501010000	Patient number
phv00159194.v1.p3	PX111401060000	Spherical power
phv00129652.v1.p1	PX111401060000	Spherical power
phv00054717.v1.p9	PX111401060000	Spherical power
phv00159091.v1.p3	PX111401060000	Spherical power
phv00085838.v2.p3	PX110901130000	Did you ever have laser treatment or surgery for your diabetic eye disease
phv00101946.v1.p1	PX110901130000	Did you ever have laser treatment or surgery for your diabetic eye disease
phv00080633.v1.p1	PX110901130000	Did you ever have laser treatment or surgery for your diabetic eye disease
phv00182451.v1.p1	PX110901130000	Did you ever have laser treatment or surgery for your diabetic eye disease
phv00054812.v1.p9	PX110901130000	Did you ever have laser treatment or surgery for your diabetic eye disease
phv00066349.v1.p1	PX110901130000	Did you ever have laser treatment or surgery for your diabetic eye disease
phv00085853.v2.p3	PX111201160100	How much difficulty do you have driving at night
phv00085854.v2.p3	PX111201160100	How much difficulty do you have driving at night
phv00101839.v1.p1	PX111201160100	How much difficulty do you have driving at night
phv00159092.v1.p3	PX111401020000	Spherical power
phv00054716.v1.p9	PX111401020000	Spherical power
phv00129651.v1.p1	PX111401020000	Spherical power
phv00159195.v1.p3	PX111401020000	Spherical power
phv00209156.v1.p1	PX111501090100	Other eye field
phv00209192.v1.p1	PX111501090100	Other eye field
phv00209156.v1.p1	PX111501040100	Other eye field
phv00209192.v1.p1	PX111501040100	Other eye field
phv00124398.v1.p1	PX111303010000	Do you wear glasses of any kind
phv00031545.v1.p1	PX111303010000	Do you wear glasses of any kind
phv00031546.v1.p1	PX111303010000	Do you wear glasses of any kind
phv00085842.v2.p3	PX110901080300	Did you receive this treatment for your glaucoma
phv00085841.v2.p3	PX110901080100	Did you receive this treatment for your glaucoma
phv00182451.v1.p1	PX110901120000	Has a medical doctor ever told you that diabetes has affected blood vessels in your eyes or that you had diabetic retinopathy or diabetic eye disease
phv00054812.v1.p9	PX110901120000	Has a medical doctor ever told you that diabetes has affected blood vessels in your eyes or that you had diabetic retinopathy or diabetic eye disease
phv00101946.v1.p1	PX110901120000	Has a medical doctor ever told you that diabetes has affected blood vessels in your eyes or that you had diabetic retinopathy or diabetic eye disease
phv00066349.v1.p1	PX110901120000	Has a medical doctor ever told you that diabetes has affected blood vessels in your eyes or that you had diabetic retinopathy or diabetic eye disease
phv00080633.v1.p1	PX110901120000	Has a medical doctor ever told you that diabetes has affected blood vessels in your eyes or that you had diabetic retinopathy or diabetic eye disease
phv00085855.v2.p3	PX111001010000	Have you ever had a crossed or wandering eye, amblyopia
phv00115862.v2.p2	PX111301010000	Do you currently wear contact lenses
phv00124398.v1.p1	PX111001060000	Have you ever worn glasses or contacts
phv00163305.v1.p1	PX111201020000	At the present time, how is your eyesight, using both eyes with glasses or contact lenses, if you wear them
phv00163305.v1.p1	PX111302040100	Has your child worn glasses or contact lenses in the past, but no longer needs to wear them
phv00180782.v2.p1	PX111001110000	Do you have any abnormal ocular features
phv00163305.v1.p1	PX110901010000	At the present time, would you say your eyesight using both eyes, with glasses or contact lenses, if you wear them, is
phv00101820.v1.p1	PX111201310000	Because of your eyesight, how much difficulty do you have recognizing people you know from across a room
phv00101816.v1.p1	PX111201050000	How much difficulty do you have reading ordinary print in newspapers
phv00101814.v1.p1	PX111201280000	Wearing glasses, how much difficulty do you have reading the small print in a telephone book, on a medicine bottle, or on legal forms
phv00123461.v1.p1	PX110901090100	Do or did his or her relative have this eye problem
phv00180779.v2.p1	PX111001080000	Do you have a coloboma, absence or defect of ocular tissue ranging from a small pit in the optic disk to extensive defects in the iris, ciliary body, choroid, retina, or optic disk
phv00163305.v1.p1	PX111201270000	How would you rate your eyesight now, with glasses or contact lens on, if you wear them
phv00085838.v2.p3	PX110901140000	How many different times have you had laser treatment or surgery for diabetic eye disease
